char_id,char,pinyin,eng,formula,words
1,一,,,,
2,二,,,,
3,三,,,,
4,十,,,,
5,口,,,,
6,日,,,,
7,几,,,,
8,也,,,,
9,不,,,,
10a,木,mu4,tree,,
10,机,ji1,machine,10a+7,
11,杯,bei1,,10a+9,
12,人,ren2,,,
13a,亻,,,12,
13,他,,,13a+8,
14,力,li4,,,
15,女,,,,
16,她,,,15+8,
17,子,,,,
18,好,,,15+17,
19a,丨,,stick,,
19b,人,,tent,12,
19,个,,,,
20,八,,,,
21,儿,,boy,,
22a,丶,,drop,,
22,白,,,22a+6,
23a,勹,,wrap,,
23b,勺,shao2,ladle,23a+22a,
23,的,,,22+23b,
24a,囗,,enclosed,,
24,四,,,24a+21,
25a,乂,,shears,,
25b,亠,,lid,,
25,文,,,25a+25b,日文
26a,辶,,,,
26,这,,,26a+25,
27,门,men2,,,
28,们,,,13a+27,人们
29a,止,zhi3,stop,,
29,正,zheng4,upright,1+29a,
30a, 龰,,stop,29a,
30b,𤴓,,upright,1+30a,
30,是,,,6+30b,
31,手,,,,
32a,戈,ge1,dagger,,
32,我,,,31+32a,
33,中,,,,中文
34a,厶,,cocoon,,
34b, 丿,,slide,,
34,么,me,,34a+34b,
35,什,shen2,what?,13a+4,
36,五,,,,
37,七,,,,
38,九,jiu3,nine,,
39,六,liu4,six,25b+20,
40a,?,,thumb-tack,,
40,百,bai3,hundred,1+22,
41,边,bian1,side,26a+14,
42a,卜,,divination,19a+22a,
42,上,,,1+42a,
43,下,,,1+42a,
44,马,ma3,,,
45,吗,ma,,5+44,
46,妈,ma1,,15+44,
47,大,,,,
48,太,,,47+22a,
49,夫,fu1,husband,,
50,小,,,,大小
51a,⺈,,to bow,,
51b,尔,,thou,51a + 50,
51,你,,,13a+51b,
52,又,you4,right hand,,
53a,𠂇,,left hand,,
53,友,you3,friend,53a+52,有好
54a,土,tu3,earth,,
54,地,di4;de,ground;-ly,54a+8,
55a,NA,,talent,53a+19a,
55,在,,,53a+13a+54a,
56,云,yun2,cloud,2+34a,
57,运,yun4,transport,26a+56,
58,动,dong4,move,56+14,运动
59,会,hui4,meeting,19b+56,机会
59a,亽,,combine,19b+1,
60a,王,wang2,,1+54a,
60b,玉,yu4,jade,60a+22a,
60,国,,,24a+60b,中国
61,月,,,,
62,朋,peng2,companion,61+61,朋友
63,有,,,53a+61,
64a,未,wei4,not yet,,
64,妹,mei4,younger sister,15+64a,
65a,丷,,horns,,
65,来,,,65a+64a,"上来,下来"
66,了,le;liao3,transition;complete,,
67a,兄,xiong1,older brother,5+21,
67b,兑,dui4,convert,65a+67a,
67c,讠,,words,,
67,说,,,67c+67b,小说
68a,吾,wu2,yours truly,36+5,
68,语,yu3,language,67c+68a,"口语,日语"
69a,夕,xi1,evening,,
69,多,,,69a+69a,
70,名,ming2,name,69a+5,有名
71,外,wai4,,69a+42a,"外边,外语,在外"
72,刀,dao1,,,
73,分,fen1,division,20+72,
74a,刂,,,72,
74b,至,zhi4,until,1+34a+54a,
74,到,dao4,,74b+74a,
75,倒,dao3;dao4,topple;invert,13a+74,
76,天,tian1,,1+47,
77,明,ming2,,6+61,
78a,氵,,water,,
78,汉,han4,,78a+52,
79a,另,ling4,other,5+14,
79,别,bie2,,79a+74a,
80,如,ru2,if,15+5,
81a,?,,step-forward,34b+13a,
81b,丁,ding1,iv,,
81c,丁,,,1+81b,
81,行,xing2;hang2,OK;line,81a+81c,
82a,?,,cover,,
82b,?,,reaching over,,
82c,?,,unveil,,
82,学,xue2,study,82c+17,
83,车,che1,car,,
84,连,lian2,,26a+83,
85a,?,,,,
85,开,kai1,,1+85a,
86,去,qu4,go,34a+54a,
87,法,fa3,law,78a+86,
88a,耳,er3,ear,,
88,取,qu3,acquire,88a+52,
89a,?,,beret,,
89,千,qian1,thousand,,
90a,?,,,65a+1,
90b,?,,,61+74a,
90,前,qian1,in front of,90a+90b,
91a,?,,house,,
91,安,an1,peace,91a+15,
92,字,zi4,,91a+17,
93,目,mu4,eye,,
94,自,zi4,self,93+22a,
95,咱,zan2,we,5+94,
96a,?,,mound;city,,
96,阳,yang2,in the open,96a+6,
97,阴,yin1,hidden,96a+61,
98a,?,,furs,,
98,那,na4,that,98a+96a,
99,哪,na3,which,98+5,
100,西,xi3,west,,
101,要,yao4;yao1,want;ask for,100+15,
102a,酉,you3,,,
102,酒,jiu3,liquor,78a+102a, 
103,从,cong2,,12+12,
104a,?,cun4,,,
104,村,cun1,village,10a+104a,
105,时,shi2,time,6+104a,
106,过,guo4,to cross,26a+104a,
107,身,shen1,,,
108a,射,she4,to shoot,,
108,谢,xie4,,108a+67c,
109a,?,,pig,,
109,家,jia1,household,91a+109a,
110,山,shan1,,,
111,羊,yang2,sheep,,
112,样,yang4,appearance,111+10a,
113,班,ban1,team,60a+74a+60a,
114,出,chu1,exit,110+110,
115a,石,shi2,stone,5,
115,础,chu3,plinth,115a+114,
116,岁,sui4,years old,110+69a,
117a,旦,dan4,dawn,6+1,
117,但,dan4,but,13a+117a,
118,得,de2;de;dei3,obtain;way;must,81a+117a+104a,
119,公,gong1,public,20+34a,
120a,?,,barb,,
120,以,yi3,using,120a+12,
121,之,zhi1,of,,
122,为,wei2;wei4,act as;for,14+22a+22a,
123,办,ban4,manage,14+20,
124a,?,,label,,
124b,?,,clouds,124a+1,
124,干,gan1;gan4,dry;work,1+4,
125,午,wu3,noon,124b+4,
126a,禾,he2,grain,89a+10a,
126,和,he2;huo2,with;mix,126a+5,
127,母,mu3,mother,,
128,每,mei3,every,124b+127,
129,海,hai3,sea,78a+128,
130a,?,,criminal,,
130,用,yong4,to use,,
131,半,ban4,half,65a+130a,
132,利,li4,benefit,126a+74a,
133a,?,,plant,,
133,生,sheng1,life,124a+133a,
134,胜,sheng4,triumph,61+133,
135,姓,xing4,surname,15+133,
136,星,xing1,star,6+133,
137a,?,,calf,124a+54a,
137,先,xian1,ahead,137a+21,
138,告,gao4,inform,137a+5,
139,洗,xi3,wash,78a+137,
140,可,ke3,may,5+81b,
141,河,he2,river,78a+140,
142,何,he2,what,13a+140,
143a,阿,a1,ah,96a+140,
143,啊,a1,eh,5+143a,
144,首,shou3,head,90a+94,
145,道,dao4,way,26a+144,
146,发,fa1,send out,22a+53,
147,工,gong1,to work,,
148,江,jiang1,river,78a+147,
149,厂,chang3,cliff,,
150a,?,drag,,,
150b,?,,piled-up,1+5,
150,后,hou4,rear,150a+150b,
151a,?,,comb,,
151,而,er2,and yet,40a+151a,
152a,扌,,hand,,
152,找,zhao3,look for,152a+32a,
153,打,da3,hit,152a+81b,
154,对,dui4,correct,52+104a,
155,树,shu4,tree,10a+154,
156a,田,tian2,field,,
156,男,nan2,male,156a+14,
157,里,li3,in,156a+54a,
158,理,li3,reason,60a+157,
159,电,dian4,electricity,,
160a,?,,outer limits,,
160,同,tong2,same,160a+150b,
161,心,xin1,heart,,
162,必,bi4,inevitable,161+34b,
163,相,xiang1;xiang4,mutual;appearance,10a+93,
164,想,xiang3,think about,163+161,
165,思,si3,think,156a+161,
166a,?,,knee,,
166,今,jin1,now,59a+166a,
167,念,nian4,to study,166+161,
168a,?,,surpass,,
168,年,nian2,year,124b+168a,
169a,?,,to strike,7+52,
169,没,mei2,not,78a+169a,
170,广,guang3,shelter,,
171,床,chuang2,bed,170+10a,
172,长,chang2;zhang3,long;chief,,
173a,弓,gong1,a bow,,
173, 张,zhang1,sheet,173a+172,
174,本,ben3,source,,
175,体,ti3,body,,
176,书,shu1,book,,
177,立,li4,to stand,25b+90a,
178,位,wei4,place,13a+177,
179,拉,la1,pull,152a+177,
180,啦,la,exclamation,5+179,
181,火,huo3,fire,,
182,灯,deng1,lamp,181+81b,
183,占,zhan4,occupy,42a+5,
184,站,zhan4,station,177+183,
185a,灬,,fire,,
185,点,dian3,speck,183+185a,
186,店,dian4,store,170+183,
187,果,guo3,fruit,156a+10a,
188,棵,ke1,number of trees,10a+187,
189,课,ke4,lesson,67c+187,
190a,?,,to tap,124b+25a,
190,政,zheng4,government,29+190a,
