character,radicals
的,白 ;勹 ;丶 
我,手 ;戈 
你,亻 ;⺈ ;小 
是,日 ;一 ;龰 
了,㇇ ;亅 
不,一 ;丿 ;卜 
在,𠂇 ;亻 ;土 
他,亻 ;乚 ;㇆ ;丨 
们,亻 ;门 
好,女 ;子 
有,𠂇 ;月 
这,辶 ;文 
会,人 ;二 ;厶 
吗,口 ;马 
什,亻 ;十 
么,丿 ;厶 
说,讠 ;丷 ;口 ;儿 
她,女 ;乚 ;㇆ ;丨 
想,木 ;目 ;心 
一,一 
很,彳 ;艮 
人,人 
那,㇆ ;二 ;丨 ;阝 
来,木 ;一 ;丷 
都,耂 ;日 ;阝 
个,人 ;丨 
能,厶 ;月 ;No glyph available 
去,土 ;厶 
和,禾 ;口 
做,亻 ;十 ;口 ;⺙ 
上,⺊ ;一 
没,氵 ;殳 
看,龵 ;目 
怎,丿 ;一 ;丨 ;二 ;心 
现,王 ;见 
点,⺊ ;口 ;灬 
呢,口 ;尸 ;匕 
太,大 ;丶 
里,里 
听,口 ;斤 
谁,讠 ;隹 
多,多 
时,日 ;寸 
候,亻 ;丨 ;No glyph available ;矢 
下,一 ;卜 
谢,讠 ;身 ;寸 
先,⺧ ;儿 
生,生 
喜,士 ;口 ;丷 ;一 ;口 
欢,又 ;欠 
大,大 
东,乚 ;一 ;小 
西,西 
小,小 
叫,口 ;丨 ;㇙ 
爱,爫 ;冖 ;𠂇 ;又 
年,丿 ;一 ;十 ;㇗ ;丨 
请,讠 ;青 
回,回 
工,工 
作,亻 ;丿 ;一 ;丨 ;二 
钱,钅 ;戋 
吃,口 ;丿 ;一 ;㇠ 
开,一 ;廾 
家,宀 ;豕 
哪,口 ;㇆ ;二 ;丨 ;阝 
朋,朋 
友,𠂇 ;又 
妈,女 ;马 
今,人 ;丶 ;㇇ 
天,一 ;大 
几,几 
爸,父 ;丨 ;No glyph available ;丨 ;乚 
些,止 ;匕 ;二 
样,木 ;羊 
对,又 ;寸 
起,走 ;己 
住,亻 ;王 ;丶 
三,一 ;二 
高,高 
兴,⺍ ;一 ;八 
买,㇖ ;大 ;⺀ 
医,匚 ;矢 
儿,儿 
字,宀 ;子 
名,夕 ;口 
认,讠 ;人 
识,讠 ;口 ;八 
坐,土 ;从 
喝,口 ;曰 ;勹 ;人 ;㇗ 
写,冖 ;No glyph available ;一 
月,月 
号,口 ;一 ;㇉ 
狗,犭 ;勹 ;口 
岁,山 ;夕 
见,见 
打,扌 ;一 ;亅 
电,日 ;丨 ;乚 
话,讠 ;舌 
喂,口 ;田 ;一 ;乚 ;No glyph available 
子,子 
漂,氵 ;覀 ;示 
亮,亠 ;口 ;冖 ;几 
分,八 ;刀 
钟,钅 ;口 ;丨 
再,一 ;冂 ;土 
本,木 ;一 
明,日 ;月 
少,小 ;丿 
块,土 ;No glyph available ;丨 ;人 
女,女 
姐,女 ;月 ;一 
衣,衣 
服,月 ;卩 ;又 
水,水 
学,⺍ ;冖 ;子 
校,木 ;亠 ;八 ;乂 
影,日 ;亠 ;口 ;小 ;彡 
书,No glyph available ;丨 ;丶 
四,囗 ;儿 
五,一 ;力 ;一 
院,阝 ;宀 ;二 ;儿 
关,丷 ;一 ;大 
系,㇒ ;糸 
飞,飞 
机,木 ;几 
二,二 
视,礻 ;见 
读,讠 ;十 ;㇖ ;大 ;⺀ 
后,⺁ ;一 ;口 
面,面 
昨,日 ;丿 ;一 ;丨 ;二 
睡,目 ;㇒ ;十 ;士 ;艹 
觉,⺍ ;冖 ;见 
六,亠 ;八 
老,老 
师,No glyph available ;一 ;巾 
星,日 ;生 
期,甘 ;一 ;八 ;月 
十,十 
猫,犭 ;艹 ;田 
脑,月 ;亠 ;凵 ;乂 
热,扌 ;丿 ;㇈ ;丶 ;灬 
午,干 ;㇒ 
习,㇆ ;亠 
冷,冫 ;人 ;丶 ;龴 
客,宀 ;夂 ;口 
气,气 
前,丷 ;一 ;月 ;刂 
八,八 
中,口 ;丨 
国,囗 ;玉 
七,乚 ;一 
菜,艹 ;爫 ;木 
桌,⺊ ;日 ;木 
出,出 
租,禾 ;月 ;一 
车,车 
茶,艹 ;人 ;十 ;小 
九,丿 ;㇈ 
商,亠 ;丷 ;冂 ;八 ;口 
店,广 ;⺊ ;口 
椅,木 ;大 ;一 ;亅 ;口 
同,冂 ;一 ;口 
苹,艹 ;干 ;丷 
果,田 ;木 
饭,饣 ;⺁ ;又 
杯,木 ;一 ;丿 ;卜 
雨,雨 
米,米 
北,北 
京,亠 ;口 ;小 
汉,氵 ;又 
语,讠 ;一 ;力 ;一 ;口 
就,亠 ;口 ;小 ;尢 ;丶 
要,覀 ;女 
知,矢 ;口 
道,辶 ;首 
吧,口 ;丨 ;No glyph available ;丨 ;乚 
到,至 ;刂 
也,乚 ;㇆ ;丨 
还,辶 ;一 ;丿 ;卜 
让,讠 ;⺊ ;一 
给,纟 ;人 ;一 ;口 
过,辶 ;寸 
得,彳 ;日 ;一 ;寸 
真,十 ;目 ;一 ;八 
着,羊 ;目 
可,一 ;亅 ;口 
以,乚 ;丶 ;人 
别,口 ;力 ;刂 
走,走 
告,⺧ ;口 
诉,讠 ;斤 ;丶 
因,囗 ;大 
为,力 ;⺀ 
快,忄 ;No glyph available ;丨 ;人 
但,亻 ;日 ;一 
已,已 
经,纟 ;龴 ;工 
它,宀 ;匕 
从,从 
找,扌 ;戈 
最,曰 ;耳 ;又 
次,冫 ;欠 
孩,子 ;亠 ;丨 ;㇙ ;人 
所,戶 ;斤 
两,一 ;从 ;冂 
错,钅 ;艹 ;一 ;日 
等,⺮ ;土 ;寸 
题,日 ;一 ;龰 ;页 
问,门 ;口 
始,女 ;厶 ;口 
间,门 ;日 
事,十 ;口 ;丨 ;⺺ ;亅 
情,忄 ;青 
非,非 
常,⺌ ;冖 ;口 ;巾 
希,乂 ;𠂇 ;巾 
望,匸 ;丶 ;月 ;王 
准,冫 ;隹 
备,夂 ;田 
比,比 
件,亻 ;牛 
意,音 ;心 
思,田 ;心 
第,⺮ ;弓 ;丨 ;㇒ 
进,辶 ;No glyph available ;二 
新,立 ;十 ;小 ;斤 
您,亻 ;⺈ ;小 ;心 
穿,穴 ;牙 
送,辶 ;丷 ;一 ;大 
玩,王 ;二 ;儿 
长,长 
完,宀 ;二 ;儿 
每,丿 ;一 ;母 
公,八 ;厶 
司,㇆ ;一 ;口 
帮,一 ;二 ;丨 ;阝 ;巾 
助,月 ;一 ;力 
晚,日 ;⺈ ;口 ;丨 ;乚 
门,门 
忙,忄 ;匸 ;丶 
卖,十 ;㇖ ;大 ;⺀ 
房,户 ;方 
路,⻊ ;夂 ;口 
懂,忄 ;艹 ;㇒ ;十 ;里 
正,一 ;止 
笑,⺮ ;㇒ ;大 
远,辶 ;二 ;儿 
妻,十 ;⺺ ;女 
丈,十 ;乂 
夫,人 ;二 
离,亠 ;凵 ;乂 ;禸 
往,彳 ;王 ;丶 
男,田 ;力 
眼,目 ;艮 
睛,目 ;青 
乐,㇒ ;㇗ ;小 
虽,口 ;虫 
然,月 ;犬 ;灬 
早,日 ;十 
药,艹 ;纟 ;勹 ;丶 
身,身 
体,亻 ;木 ;一 
黑,黑 
咖,口 ;力 ;口 
啡,口 ;非 
日,日 
休,亻 ;木 
息,自 ;心 
外,夕 ;卜 
哥,哥 
票,覀 ;示 
手,手 
洗,氵 ;⺧ ;儿 
跳,⻊ ;儿 ;冫 ;No glyph available 
舞,No glyph available ;舛 
弟,丷 ;弓 ;丨 ;㇒ 
妹,女 ;木 ;一 
红,纟 ;工 
慢,忄 ;日 ;罒 ;又 
近,辶 ;斤 
白,白 
介,人 ;No glyph available 
绍,纟 ;刀 ;口 
鱼,鱼 
累,田 ;糸 
课,讠 ;田 ;木 
班,玨 ;丿 ;丶 
旁,亠 ;丷 ;冖 ;方 
边,辶 ;力 
运,辶 ;二 ;厶 
动,二 ;厶 ;力 
报,扌 ;卩 ;又 
纸,纟 ;氏 
颜,立 ;厂 ;彡 ;页 
色,色 
场,土 ;㇎ ;No glyph available 
唱,口 ;昌 
歌,哥 ;欠 
千,㇒ ;十 
考,耂 ;一 ;㇉ 
试,讠 ;弋 ;工 
左,𠂇 ;工 
姓,女 ;生 
百,一 ;白 
雪,雨 ;彐 
贵,口 ;丨 ;一 ;贝 
病,疒 ;一 ;人 ;冂 
游,氵 ;方 ;丿 ;一 ;子 
泳,氵 ;㇆ ;㇇ ;No glyph available ;丶 
牛,牛 
奶,女 ;㇎ ;丿 
右,𠂇 ;口 
便,亻 ;一 ;日 ;丨 ;乂 
宜,宀 ;月 ;一 
共,艹 ;一 ;八 
汽,氵 ;气 
床,广 ;木 
篮,⺮ ;丨 ;丨 ;丿 ;一 ;丶 ;皿 
球,王 ;𠂇 ;丶 ;氺 
鸡,又 ;鸟 
蛋,疋 ;虫 
踢,⻊ ;日 ;勹 ;No glyph available 
足,足 
零,雨 ;人 ;丶 ;龴 
表,龶 ;㇒ ;㇗ ;No glyph available 
旅,方 ;丿 ;一 ;氏 
务,夂 ;力 
员,口 ;贝 
宾,宀 ;兵 
馆,饣 ;宀 ;㠯 
教,耂 ;子 ;⺙ 
室,宀 ;至 
跑,⻊ ;勹 ;巳 
步,止 ;小 ;丿 
阴,阝 ;月 
条,夂 ;十 ;小 
铅,钅 ;几 ;口 
笔,⺮ ;毛 
火,火 
站,立 ;⺊ ;口 
瓜,瓜 
羊,羊 
肉,肉 
晴,日 ;青 
啊,口 ;阝 ;一 ;亅 ;口 
把,扌 ;丨 ;No glyph available ;丨 ;乚 
如,女 ;口 
只,口 ;八 
被,衤 ;皮 
跟,⻊ ;艮 
自,自 
己,己 
用,用 
像,亻 ;⺈ ;口 ;丨 ;勹 ;No glyph available ;No glyph available 
需,雨 ;而 
应,广 ;⺍ ;一 
该,讠 ;亠 ;丨 ;㇙ ;人 
才,𠂇 ;㇒ 
又,又 
拿,人 ;一 ;口 ;手 
更,一 ;日 ;丨 ;乂 
带,川 ;一 ;冖 ;巾 
当,⺌ ;彐 
相,木 ;目 
信,亻 ;言 
直,十 ;目 ;一 
地,土 ;乚 ;㇆ ;丨 
方,方 
定,宀 ;一 ;龰 
发,㇗ ;丨 ;丶 ;又 
而,而 
且,月 ;一 
必,心 ;丿 
须,彡 ;页 
放,方 ;⺙ 
向,宀 ;口 
位,亻 ;立 
种,禾 ;口 ;丨 
其,甘 ;一 ;八 
记,讠 ;己 
或,戈 ;口 ;一 
者,耂 ;日 
担,扌 ;日 ;一 
心,心 
世,㇗ ;廿 
界,田 ;人 ;No glyph available 
重,㇒ ;十 ;里 
张,弓 ;长 
接,扌 ;立 ;女 
赛,宀 ;No glyph available ;二 ;一 ;八 ;贝 
马,马 
决,冫 ;No glyph available ;丨 ;人 
于,干 ;亅 
难,又 ;隹 
解,角 ;刀 ;牛 
结,纟 ;士 ;口 
束,木 ;口 
清,氵 ;青 
楚,林 ;疋 
愿,厂 ;白 ;小 ;心 
花,艹 ;亻 ;匕 
照,日 ;刀 ;口 ;灬 
片,片 
迎,辶 ;㇒ ;㇗ ;卩 
总,丷 ;口 ;心 
