simp	trad	hsk	pinyin	pinyin_tonemarks	eng
的	的	1	de5	de	indicates possession, like adding 's to a noun
我	我	1	wo3	wǒ	I; me
你	你	1	ni3	nǐ	you (singular)
是	是	1	shi4	shì	be; is; are; am
了	了	1	le5	le	indicates a completed or finished action
不	不	1	bu4	bù	no; not
在	在	1	zai4	zài	at; on; in; indicates an action in progress
他	他	1	ta1	tā	he; him
我们	我們	1	wo3men5	wǒmen	we; us
好	好	1	hao3	hǎo	good
有	有	1	you3	yǒu	have
这	這	1	zhe4	zhè	this
会	會	1	hui4	huì	know how to
吗	嗎	1	ma5	ma	indicates a yes/no question (added to a statement)
什么	什麼	1	shen2me5	shénme	what? (replaces the noun to turn a statement into a question)
说	說	1	shuo1	shuō	speak
她	她	1	ta1	tā	she
想	想	1	xiang3	xiǎng	think; believe; suppose; would like to
一	一	1	yi1	yī	one; once; a
很	很	1	hen3	hěn	very; quite
人	人	1	ren2	rén	person; man; people
那	那	1	na4	nà	that; then
来	來	1	lai2	lái	come; arrive; ever since; next
都	都	1	dou1	dōu	all; both
个	個	1	ge5	ge	general measure word
能	能	1	neng2	néng	can; be able
去	去	1	qu4	qù	go; to leave
和	和	1	he2	hé	and; with
做	做	1	zuo4	zuò	do; make
上	上	1	shang4	shàng	above; up
没有	沒有	1	mei2you3	méiyǒu	not have; there is not
看	看	1	kan4	kàn	see; look at; to watch
怎么	怎麼	1	zen3me5	zěnme	how?
现在	現在	1	xian4zai4	xiànzài	now
点	點	1	dian3	diǎn	a dot; a little; o'clock
呢	呢	1	ne5	ne	indicates a question; how about...?;
太	太	1	tai4	tài	too (much)
里	裡	1	li3	lǐ	inside; Chinese mile (~.5 km)
听	聽	1	ting1	tīng	listen; hear
谁	誰	1	shei2	shéi	who
多	多	1	duo1	duō	many
时候	時候	1	shi2hou5	shíhou	time
下	下	1	xia4	xià	fall; below
谢谢	謝謝	1	xie4xie5	xièxie	thank you
先生	先生	1	xian1sheng5	xiānsheng	Mr.; Sir
喜欢	喜歡	1	xi3huan5	xǐhuan	to like
大	大	1	da4	dà, dài	big; large
东西	東西	1	dong1xi5	dōngxi	things; stuff
小	小	1	xiao3	xiǎo	small; young
叫	叫	1	jiao4	jiào	to be called
爱	愛	1	ai4	ài	love
年	年	1	nian2	nián	year
请	請	1	qing3	qǐng	please; invite; to treat someone to something
回	回	1	hui2	huí	to return; to reply; to go back
工作	工作	1	gong1zuo4	gōngzuò	work; a job
钱	錢	1	qian2	qián	money; coin
吃	吃	1	chi1	chī	eat
开	開	1	kai1	kāi	to open; to start; to operate (a vehicle)
家	家	1	jia1	jiā	family; home
哪	哪	1	na3	nǎa	which; how
朋友	朋友	1	peng2you5	péngyou	friend
妈妈	媽媽	1	ma1ma5	māma	mom; mum
今天	今天	1	jin1tian1	jīntiān	today
几	幾	1	ji3	jǐ	how many; several; a few
爸爸	爸爸	1	ba4ba5	bàba	Dad
