simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
这	這	1	zhe4	zhè	zhe	4	this
能	能	1	neng2	néng	neng	2	can; be able
长	長	2	chang2	cháng	chang	2	long; length
长	長	2	zhang3	zhǎng	zhang	3	grow; chief (Kangxi radical 168)
正在	正在	2	zheng4zai4	zhèngzài	zheng,zai	4,4	in the process of (doing something); currently
笑	笑	2	xiao4	xiào	xiao	4	to laugh; to smile
鱼	魚	2	yu2	yú	yu	2	fish (Kangxi radical 195)
累	累	2	lei4	lèi	lei	4	tired
累	累	2	lei3	lěi	lei	3	accumulate; implicate
累	累	2	lei2	léi	lei	2	rope; bind together
课	課	2	ke4	kè	ke	4	class; subject; lesson; course
